序號,標章機關名稱,網站名稱,網址,標章等級,檢測日期,標章狀態,大分類,分類
931,民間團體,南開科技大學科技學院,https://nktec.nkut.edu.tw/,A,2024/11/21,啟用,教育機構,大學/技專校院
951,民間團體,台南應用科技大學,https://www.tut.edu.tw/,AA,2024/10/30,啟用,教育機構,大學/技專校院
952,民間團體,臺灣企銀網路ATM,https://eatm.tbb.com.tw,AA,2024/1/26,啟用,金融服務業,銀行/證券/期貨/投信
958,民間團體,南開科技大學研究發展暨產學合作處,https://nkrnd.nkut.edu.tw/,A,2025/1/23,啟用,教育機構,大學/技專校院
959,民間團體,崑山網路大學,https://elearning2.ksu.edu.tw/,A,2025/3/21,啟用,教育機構,大學/技專校院
963,民間團體,金門縣輔具資源中心,https://www.kinmen-atc.org.tw,AA,2024/11/25,啟用,輔具資源中心,輔具資源中心
967,民間團體,國泰綜合證券金融友善服務專區,https://www.cathaysec.com.tw/exclude_AL/friendly,A,2024/11/25,啟用,金融服務業,銀行/證券/期貨/投信
973,民間團體,群益金融友善服務專區,https://friendly.capital.com.tw/,A,2025/1/23,啟用,金融服務業,保險/金融友善服務
979,民間團體,第一商業銀行股份有限公司第e寫字檯網站,https://netd.firstbank.com.tw/eweb/,AA,2024/12/19,啟用,金融服務業,銀行/證券/期貨/投信
1009,民間團體,南開科技大學休閒事業管理系(所),https://nklrm.nkut.edu.tw,A,2024/11/22,啟用,教育機構,大學/技專校院
1029,民間團體,魚禾子科技有限公司,https://www.sowing.com.tw,AAA,2025/9/26,啟用,一般企業,科技/資訊公司
1036,民間團體,新加坡商美國國際產物保險股份有限公司台灣分公司,https://www.aig.com.tw,AA,2025/12/12,啟用,金融服務業,保險/金融友善服務
1078,民間團體,南開科技大學國際暨兩岸事務處,https://ic.nkut.edu.tw/,A,2024/11/20,啟用,教育機構,大學/技專校院
1080,民間團體,中國信託產險金融友善網站,https://accessibility.ctbcins.com/,AAA,2024/12/13,啟用,金融服務業,保險/金融友善服務
1087,民間團體,南開科技大學車輛工程系(所),https://nkve.nkut.edu.tw/,A,2024/11/22,啟用,教育機構,大學/技專校院
1089,民間團體,台北國際藝術村,https://www.artistvillage.org,A,2025/1/15,啟用,生活休閒場館,博物館/藝文/展演機構
1098,民間團體,新光人壽金融友善服務專區,https://easy-access.skl.com.tw/,AA,2024/11/20,啟用,金融服務業,保險/金融友善服務
1101,民間團體,佛光山學校財團法人高雄市普門高級中學資訊網,https://www.pmsh.khc.edu.tw/,AA,2024/12/26,啟用,教育機構,中小學/高中/幼兒園(私立)
1129,民間團體,板信商業銀行金融友善服務WEB-ATM,https://accessiblewebatm.bop.com.tw,A,2024/1/19,啟用,金融服務業,銀行/證券/期貨/投信
1134,民間團體,經濟部德基水庫集水區管理委員會德基水庫水質藻類監測資訊網,https://web.wra.gov.tw/techi/,AA,2024/11/25,啟用,財團法人/公協會,政府捐助/委辦法人機構
1146,民間團體,泰安產物保險金融友善服務專區,https://accessibility.taian.com.tw/,AAA,2023/12/18,啟用,金融服務業,保險/金融友善服務
1180,民間團體,臺北醫學大學,https://www.tmu.edu.tw/,AA,2023/12/18,啟用,教育機構,大學/技專校院
1185,民間團體,中華民國人壽保險商業同業公會全球資訊服務網,https://www.lia-roc.org.tw/,A,2023/12/19,啟用,金融服務業,保險/金融友善服務
1188,民間團體,板信商業銀行友善網路銀行,https://accessiblenetbank.bop.com.tw/,A,2024/1/19,啟用,金融服務業,銀行/證券/期貨/投信
1189,民間團體,嘉義市第三信用合作社,https://chiayi3c.scu.org.tw/,A,2024/1/25,啟用,金融服務業,銀行/證券/期貨/投信
1191,民間團體,財團法人工業技術研究院Energypark節約能源園區,https://www.energypark.org.tw,AA,2024/1/15,啟用,財團法人/公協會,政府捐助/委辦法人機構
1192,民間團體,安泰商業銀行_友善服務銀行,https://aebanking.entiebank.com.tw/AccessibleWebBank/login,A,2024/1/15,啟用,金融服務業,銀行/證券/期貨/投信
1205,民間團體,台中銀行網路ATM,https://webatm.tcbbank.com.tw/SWATM/,A,2024/2/6,啟用,金融服務業,銀行/證券/期貨/投信
1213,民間團體,安聯人壽金融友善專區,https://accessibility.allianz.com.tw/,AA,2026/2/25,啟用,金融服務業,保險/金融友善服務
1221,民間團體,大葉大學-D無窮學院,https://dschool.dyu.edu.tw/,AA,2024/12/26,啟用,教育機構,大學/技專校院
1235,民間團體,長庚學校財團法人長庚科技大學,https://www.cgust.edu.tw,AA,2024/12/26,啟用,教育機構,大學/技專校院
1237,民間團體,Chang Gung University of Science and Technology,https://english.cgust.edu.tw,AA,2024/12/26,啟用,教育機構,大學/技專校院
1244,民間團體,玄奘大學-數位學習 I-learn平臺,https://ilearn.hcu.edu.tw,A,2024/1/11,啟用,教育機構,大學/技專校院
1265,民間團體,澎湖時空旅人軍事體驗 ,https://penghu-warstory.com,AA,2024/12/25,啟用,生活休閒場館,觀光/休閒/文化園區
1276,民間團體,15共融諮詢,https://15dei.com,AA,2025/3/4,啟用,生活休閒場館,觀光/休閒/文化園區
1281,民間團體,宏國學校財團法人宏國德霖科技大學,https://w5.hdut.edu.tw,AA,2025/1/23,啟用,教育機構,大學/技專校院
1295,民間團體,中華民國產物保險商業同業公會,https://www.nlia.org.tw/,AA,2025/5/19,啟用,金融服務業,保險/金融友善服務
1306,民間團體,台灣血液基金會 企業永續網,https://esg.blood.org.tw/,A,2025/2/7,啟用,財團法人/公協會,財團法人/基金會/公協會
1320,民間團體,財團法人中華民國對外貿易發展協會台灣婦女企業網,http://www.womensmes.com/,A,2026/2/26,啟用,財團法人/公協會,財團法人/基金會/公協會
1335,民間團體,德育學校財團法人德育護理健康學院全球資訊網,https://www.dyhu.edu.tw,AA,2025/2/5,啟用,教育機構,大學/技專校院
1357,民間團體,衛武營國家藝術文化中心衛武營藝術學習網,https://learning.npac-weiwuying.org/,A,2024/1/26,啟用,財團法人/公協會,政府捐助/委辦法人機構
1360,民間團體,臺北市私立薇閣高級中學,https://web.wghs.tp.edu.tw,AA,2024/1/26,啟用,教育機構,中小學/高中/幼兒園(私立)
1362,民間團體,龍華科技大學管理學院,https://cm.lhu.edu.tw/,A,2025/2/27,啟用,教育機構,大學/技專校院
1377,民間團體,中山醫學大學校首頁,https://www.csmu.edu.tw,AA,2025/3/10,啟用,教育機構,大學/技專校院
1381,民間團體,龍華科技大學財務金融系,https://fn.lhu.edu.tw/,A,2025/2/27,啟用,教育機構,大學/技專校院
1404,民間團體,中國信託商業銀行易付網站,https://accessibility.yapee.tw ,A,2024/2/22,啟用,金融服務業,銀行/證券/期貨/投信
1405,民間團體,大昌證券金融友善服務專區,https://friendly.dcn.com.tw/,A,2025/3/5,啟用,金融服務業,銀行/證券/期貨/投信
1423,民間團體,財團法人職業災害預防及重建中心,https://www.coapre.org.tw/,AA,2024/2/15,啟用,財團法人/公協會,財團法人/基金會/公協會
1427,民間團體, 財團法人台灣建築中心淨零建築產學研推廣宣導平台網站,http://nzb.acv-vision.com/,AA,2025/2/27,啟用,財團法人/公協會,財團法人/基金會/公協會
1436,民間團體,馬偕學校財團法人馬偕醫護管理專科學校校首頁,https://www.mkc.edu.tw/,AA,2025/4/9,啟用,教育機構,大學/技專校院
1443,民間團體,凱基銀行友善網路銀行,https://www.kgibank.com/AccessibilityWeb/index.jsp,A,2024/3/20,啟用,金融服務業,銀行/證券/期貨/投信
1447,民間團體,德育學校財團法人德育護理健康學院進修部,https://dpd.dyhu.edu.tw/,AA,2025/4/9,啟用,教育機構,大學/技專校院
1449,民間團體,德育學校財團法人德育護理健康學院招生組,https://recruit.dyhu.edu.tw/,AA,2025/3/24,啟用,教育機構,大學/技專校院
1450,民間團體,日統汽車客運股份有限公司,https://www.solarbus.com.tw,AAA,2025/3/21,啟用,一般企業,交通運輸事業
1456,民間團體,德育學校財團法人德育護理健康學院教務處,https://aca.dyhu.edu.tw/,AA,2025/5/16,啟用,教育機構,大學/技專校院
1463,民間團體,德明財經科技大學圖書館,https://www1.takming.edu.tw,A,2025/3/27,啟用,教育機構,大學/技專校院
1475,民間團體,第一商業銀行股份有限公司官方網站,https://www.firstbank.com.tw/,AA,2025/3/19,啟用,金融服務業,銀行/證券/期貨/投信
